date,headline,summary,sector,sentiment,emotion,price_change,trading_volume_crore
2024-11-16,Weakness in Pharma drags market down amid monsoon impact on agriculture.,Cipla in the Pharma sector has seen a rise of 1.26% due to monsoon impact on agriculture. Market sentiment is Mixed with Caution prevailing.,Pharma,Mixed,Caution,1.26,242.26
2025-02-19,"Biocon plans merger, causing Pharma rally.",Biocon in the Pharma sector has seen a rise of 3.39% due to rising crude oil prices. Market sentiment is Positive with Uncertainty prevailing.,Pharma,Positive,Uncertainty,3.39,763.74
2024-06-15,SBI leads Banking gains after monsoon impact on agriculture.,SBI in the Banking sector has seen a rise of 5.94% due to tax reforms. Market sentiment is Positive with Fear prevailing.,Banking,Positive,Fear,5.94,728.62
2024-09-26,Strong demand boosts Energy sector and ONGC shares.,ONGC in the Energy sector has seen a stabilize of -0.0% due to inflation concerns. Market sentiment is Mixed with Caution prevailing.,Energy,Mixed,Caution,-0.0,544.94
2025-04-15,Positive cues from Telecom sector as Jio rise.,Jio in the Telecom sector has seen a rise of 6.54% due to infrastructure spending boost. Market sentiment is Positive with Fear prevailing.,Telecom,Positive,Fear,6.54,673.81
2025-08-15,Infrastructure stocks rise following supply chain disruptions.,Ashoka Buildcon in the Infrastructure sector has seen a rise of 0.98% due to currency fluctuations. Market sentiment is Neutral with Caution prevailing.,Infrastructure,Neutral,Caution,0.98,709.15
2024-09-30,"Escorts announces management change, impacting Automobile stocks.",Escorts in the Automobile sector has seen a rise of 0.73% due to rising raw material costs. Market sentiment is Neutral with Confidence prevailing.,Automobile,Neutral,Confidence,0.73,252.19
2024-01-31,Vodafone Idea leads Telecom gains after currency depreciation.,Vodafone Idea in the Telecom sector has seen a rise of 0.84% due to currency depreciation. Market sentiment is Neutral with Confidence prevailing.,Telecom,Neutral,Confidence,0.84,119.53
2024-10-09,Surge in Automobile stocks led by Hero MotoCorp amid interest rate hike.,Hero MotoCorp in the Automobile sector has seen a rise of 3.52% due to interest rate hike. Market sentiment is Positive with Caution prevailing.,Automobile,Positive,Caution,3.52,671.86
2024-11-03,FMCG stocks fall following merger and acquisition rumors.,ITC in the FMCG sector has seen a fall of -3.05% due to tax reforms. Market sentiment is Negative with Caution prevailing.,FMCG,Negative,Caution,-3.05,884.56
2024-08-13,Surge in Automobile stocks led by Escorts amid supply chain disruptions.,Escorts in the Automobile sector has seen a rise of 5.13% due to supply chain disruptions. Market sentiment is Positive with Uncertainty prevailing.,Automobile,Positive,Uncertainty,5.13,447.44
2025-07-30,Metals sector performance mixed following rising raw material costs.,Jindal Steel in the Metals sector has seen a rise of 4.87% due to global market trends. Market sentiment is Positive with Fear prevailing.,Metals,Positive,Fear,4.87,829.33
2025-03-23,"Godrej Properties faces challenges amid monsoon impact on agriculture, shares rise.",Godrej Properties in the Real Estate sector has seen a rise of 2.14% due to monsoon impact on agriculture. Market sentiment is Positive with Optimism prevailing.,Real Estate,Positive,Optimism,2.14,334.14
2025-08-14,Weakness in Automobile drags market down amid currency depreciation.,TVS Motors in the Automobile sector has seen a rise of 1.44% due to currency depreciation. Market sentiment is Positive with Uncertainty prevailing.,Automobile,Positive,Uncertainty,1.44,26.25
2024-08-05,Energy stocks face pressure due to global market trends.,Coal India in the Energy sector has seen a rise of 1.27% due to global market trends. Market sentiment is Positive with Optimism prevailing.,Energy,Positive,Optimism,1.27,718.04
2025-02-12,Technology companies see rise after global market trends.,Coforge in the Technology sector has seen a rise of 1.4% due to rising raw material costs. Market sentiment is Positive with Confidence prevailing.,Technology,Positive,Confidence,1.4,347.09
2024-04-30,Strong demand boosts Technology sector and HCL Technologies shares.,HCL Technologies in the Technology sector has seen a rise of 1.77% due to merger and acquisition rumors. Market sentiment is Positive with Fear prevailing.,Technology,Positive,Fear,1.77,933.64
2024-07-06,Shares of Marico in FMCG sector fall amid interest rate hike.,Marico in the FMCG sector has seen a fall of -4.31% due to interest rate hike. Market sentiment is Negative with Fear prevailing.,FMCG,Negative,Fear,-4.31,228.9
2024-04-14,Pharma sector performance mixed following government policy reforms.,Biocon in the Pharma sector has seen a rise of 5.59% due to tax reforms. Market sentiment is Positive with Optimism prevailing.,Pharma,Positive,Optimism,5.59,627.33
2024-07-07,Surge in Pharma stocks led by Biocon amid merger and acquisition rumors.,Biocon in the Pharma sector has seen a rise of 0.01% due to merger and acquisition rumors. Market sentiment is Neutral with Optimism prevailing.,Pharma,Neutral,Optimism,0.01,550.8
2024-04-16,Market sentiment shifts on strong export data affecting Telecom.,Vodafone Idea in the Telecom sector has seen a rise of 0.56% due to infrastructure spending boost. Market sentiment is Neutral with Uncertainty prevailing.,Telecom,Neutral,Uncertainty,0.56,656.93
2024-01-01,Positive cues from Banking sector as IndusInd Bank rise.,IndusInd Bank in the Banking sector has seen a rise of 2.72% due to currency depreciation. Market sentiment is Positive with Confidence prevailing.,Banking,Positive,Confidence,2.72,71.31
2024-02-14,"Sail faces challenges amid consumer demand recovery, shares rise.",Sail in the Metals sector has seen a rise of 6.96% due to consumer demand recovery. Market sentiment is Positive with Caution prevailing.,Metals,Positive,Caution,6.96,667.48
2025-04-02,"Mphasis announces share buyback plan, impacting Technology stocks.",Mphasis in the Technology sector has seen a fall of -4.77% due to geopolitical tensions. Market sentiment is Negative with Uncertainty prevailing.,Technology,Negative,Uncertainty,-4.77,853.4
2024-12-30,Automobile outlook positive on currency fluctuations.,Eicher Motors in the Automobile sector has seen a rise of 0.61% due to currency fluctuations. Market sentiment is Positive with Optimism prevailing.,Automobile,Positive,Optimism,0.61,21.76
2025-07-08,"Global trends influence Real Estate sector, stocks rise.",Kolte Patil in the Real Estate sector has seen a rise of 6.72% due to rising raw material costs. Market sentiment is Positive with Fear prevailing.,Real Estate,Positive,Fear,6.72,688.0
2024-10-05,"Global trends influence Real Estate sector, stocks fall.",Oberoi Realty in the Real Estate sector has seen a fall of -2.74% due to geopolitical tensions. Market sentiment is Mixed with Caution prevailing.,Real Estate,Mixed,Caution,-2.74,25.47
2025-05-16,Weakness in Infrastructure drags market down amid rising crude oil prices.,Simplex Infrastructures in the Infrastructure sector has seen a rise of 2.05% due to rising crude oil prices. Market sentiment is Positive with Uncertainty prevailing.,Infrastructure,Positive,Uncertainty,2.05,849.32
2024-03-05,Concerns over geopolitical tensions cause Real Estate slump.,Prestige Estates in the Real Estate sector has seen a rise of 0.65% due to geopolitical tensions. Market sentiment is Neutral with Fear prevailing.,Real Estate,Neutral,Fear,0.65,202.36
2024-05-13,Technology sector rallies on government policy reforms.,Tech Mahindra in the Technology sector has seen a fall of -2.07% due to supply chain disruptions. Market sentiment is Mixed with Confidence prevailing.,Technology,Mixed,Confidence,-2.07,187.75
2024-12-29,"Godrej Properties reports negative outlook, boosting Real Estate sector.",Godrej Properties in the Real Estate sector has seen a fall of -2.58% due to geopolitical tensions. Market sentiment is Negative with Confidence prevailing.,Real Estate,Negative,Confidence,-2.58,979.83
2025-01-12,Surge in Infrastructure stocks led by Simplex Infrastructures amid rising raw material costs.,Simplex Infrastructures in the Infrastructure sector has seen a fall of -1.35% due to rising raw material costs. Market sentiment is Mixed with Caution prevailing.,Infrastructure,Mixed,Caution,-1.35,736.87
2024-12-20,"Investors await interest rate hike, Automobile stocks volatile.",Eicher Motors in the Automobile sector has seen a fall of -3.23% due to supply chain disruptions. Market sentiment is Negative with Fear prevailing.,Automobile,Negative,Fear,-3.23,306.88
2024-11-20,Britannia leads FMCG gains after supply chain disruptions.,Britannia in the FMCG sector has seen a rise of 5.23% due to global market trends. Market sentiment is Positive with Optimism prevailing.,FMCG,Positive,Optimism,5.23,929.49
2024-03-07,Shares of Biocon in Pharma sector fall amid better-than-expected quarterly results.,Biocon in the Pharma sector has seen a fall of -2.49% due to better-than-expected quarterly results. Market sentiment is Negative with Caution prevailing.,Pharma,Negative,Caution,-2.49,987.31
2024-10-22,Energy stocks face pressure due to currency depreciation.,NTPC in the Energy sector has seen a fall of -5.06% due to currency depreciation. Market sentiment is Negative with Confidence prevailing.,Energy,Negative,Confidence,-5.06,179.85
2024-12-06,FMCG stocks rise following infrastructure spending boost.,Britannia in the FMCG sector has seen a rise of 0.67% due to strong export data. Market sentiment is Positive with Caution prevailing.,FMCG,Positive,Caution,0.67,734.69
2025-05-23,Cipla stock fall after capital expenditure plan.,Cipla in the Pharma sector has seen a fall of -3.9% due to tax reforms. Market sentiment is Negative with Caution prevailing.,Pharma,Negative,Caution,-3.9,447.1
2024-02-14,"Bharti Airtel faces challenges amid supply chain disruptions, shares rise.",Bharti Airtel in the Telecom sector has seen a rise of 2.51% due to supply chain disruptions. Market sentiment is Positive with Fear prevailing.,Telecom,Positive,Fear,2.51,116.05
2024-05-25,FMCG stocks face pressure due to tax reforms.,ITC in the FMCG sector has seen a rise of 5.58% due to tax reforms. Market sentiment is Positive with Caution prevailing.,FMCG,Positive,Caution,5.58,379.81
2024-08-15,FMCG companies see fall after monsoon impact on agriculture.,Marico in the FMCG sector has seen a fall of -0.66% due to interest rate hike. Market sentiment is Neutral with Caution prevailing.,FMCG,Neutral,Caution,-0.66,207.61
2024-07-08,Weakness in Technology drags market down amid better-than-expected quarterly results.,Persistent Systems in the Technology sector has seen a rise of 6.43% due to better-than-expected quarterly results. Market sentiment is Positive with Caution prevailing.,Technology,Positive,Caution,6.43,786.92
2025-02-13,Shares of Coal India in Metals sector fall amid technology adoption.,Coal India in the Metals sector has seen a fall of -1.84% due to technology adoption. Market sentiment is Mixed with Confidence prevailing.,Metals,Mixed,Confidence,-1.84,89.8
2025-08-16,ONGC stock rise after strategic partnership.,ONGC in the Energy sector has seen a rise of 1.54% due to supply chain disruptions. Market sentiment is Positive with Confidence prevailing.,Energy,Positive,Confidence,1.54,769.07
2024-06-08,TVS Motors stock fall after strategic partnership.,TVS Motors in the Automobile sector has seen a fall of -1.04% due to government policy reforms. Market sentiment is Negative with Fear prevailing.,Automobile,Negative,Fear,-1.04,915.93
2024-12-21,Strong demand boosts Telecom sector and Bharti Airtel shares.,Bharti Airtel in the Telecom sector has seen a rise of 3.65% due to currency depreciation. Market sentiment is Positive with Caution prevailing.,Telecom,Positive,Caution,3.65,565.9
2024-10-06,Banking stocks rise following new product launches.,Punjab National Bank in the Banking sector has seen a rise of 2.2% due to monsoon impact on agriculture. Market sentiment is Positive with Fear prevailing.,Banking,Positive,Fear,2.2,297.64
2024-02-27,Positive cues from Automobile sector as Tata Motors fall.,Tata Motors in the Automobile sector has seen a fall of -2.86% due to strong export data. Market sentiment is Negative with Caution prevailing.,Automobile,Negative,Caution,-2.86,418.21
2024-06-20,Automobile sector rallies on tax reforms.,Bajaj Auto in the Automobile sector has seen a fall of -1.14% due to global market trends. Market sentiment is Negative with Confidence prevailing.,Automobile,Negative,Confidence,-1.14,234.17
2025-01-18,Investors optimistic as Energy sector rise on interest rate hike.,GAIL in the Energy sector has seen a rise of 1.3% due to interest rate hike. Market sentiment is Positive with Optimism prevailing.,Energy,Positive,Optimism,1.3,548.93
2024-01-18,FMCG outlook positive on monsoon impact on agriculture.,Emami in the FMCG sector has seen a rise of 6.42% due to monsoon impact on agriculture. Market sentiment is Positive with Confidence prevailing.,FMCG,Positive,Confidence,6.42,460.16
2025-08-02,FMCG outlook positive on inflation concerns.,Nestle India in the FMCG sector has seen a fall of -4.86% due to inflation concerns. Market sentiment is Negative with Uncertainty prevailing.,FMCG,Negative,Uncertainty,-4.86,125.73
2024-02-13,"Bharti Airtel eyes expansion, Telecom stocks fall.",Bharti Airtel in the Telecom sector has seen a fall of -0.87% due to monsoon impact on agriculture. Market sentiment is Neutral with Optimism prevailing.,Telecom,Neutral,Optimism,-0.87,753.35
2025-03-07,Technology companies see rise after global market trends.,Coforge in the Technology sector has seen a rise of 4.73% due to strong export data. Market sentiment is Positive with Caution prevailing.,Technology,Positive,Caution,4.73,911.89
2024-11-21,Market reacts to tax reforms in Infrastructure sector.,GMR Infrastructure in the Infrastructure sector has seen a rise of 1.21% due to rising raw material costs. Market sentiment is Positive with Confidence prevailing.,Infrastructure,Positive,Confidence,1.21,749.92
2024-10-10,Surge in Technology stocks led by Tech Mahindra amid currency depreciation.,Tech Mahindra in the Technology sector has seen a fall of -5.58% due to currency depreciation. Market sentiment is Negative with Optimism prevailing.,Technology,Negative,Optimism,-5.58,871.82
2024-12-23,Weakness in Infrastructure drags market down amid infrastructure spending boost.,NCC in the Infrastructure sector has seen a rise of 2.18% due to infrastructure spending boost. Market sentiment is Positive with Optimism prevailing.,Infrastructure,Positive,Optimism,2.18,426.32
2025-07-18,Concerns over consumer demand recovery cause Technology slump.,Persistent Systems in the Technology sector has seen a rise of 0.52% due to consumer demand recovery. Market sentiment is Neutral with Uncertainty prevailing.,Technology,Neutral,Uncertainty,0.52,799.55
2025-03-07,"TVS Motors faces challenges amid tax reforms, shares fall.",TVS Motors in the Automobile sector has seen a fall of -6.92% due to tax reforms. Market sentiment is Negative with Confidence prevailing.,Automobile,Negative,Confidence,-6.92,406.38
2025-01-12,Strong demand boosts FMCG sector and Page Industries shares.,Page Industries in the FMCG sector has seen a fall of -0.46% due to monsoon impact on agriculture. Market sentiment is Neutral with Uncertainty prevailing.,FMCG,Neutral,Uncertainty,-0.46,608.49
2025-04-27,Concerns over geopolitical tensions cause FMCG slump.,Colgate in the FMCG sector has seen a rise of 0.99% due to geopolitical tensions. Market sentiment is Neutral with Caution prevailing.,FMCG,Neutral,Caution,0.99,836.24
2025-07-03,Mixed results from Energy sector after infrastructure spending boost.,Torrent Power in the Energy sector has seen a rise of 6.27% due to merger and acquisition rumors. Market sentiment is Positive with Caution prevailing.,Energy,Positive,Caution,6.27,527.23
2025-08-17,Mixed results from Real Estate sector after technology adoption.,Godrej Properties in the Real Estate sector has seen a fall of -0.96% due to rising raw material costs. Market sentiment is Neutral with Caution prevailing.,Real Estate,Neutral,Caution,-0.96,891.83
2024-06-02,Automobile sector performance mixed following infrastructure spending boost.,Bosch in the Automobile sector has seen a fall of -2.36% due to new product launches. Market sentiment is Mixed with Confidence prevailing.,Automobile,Mixed,Confidence,-2.36,367.88
2025-06-24,Positive cues from Banking sector as ICICI Bank fall.,ICICI Bank in the Banking sector has seen a fall of -0.15% due to inflation concerns. Market sentiment is Neutral with Fear prevailing.,Banking,Neutral,Fear,-0.15,61.18
2024-08-31,Market correction hits Automobile stocks after technology adoption.,Hero MotoCorp in the Automobile sector has seen a fall of -5.26% due to rising raw material costs. Market sentiment is Negative with Uncertainty prevailing.,Automobile,Negative,Uncertainty,-5.26,667.13
2025-08-22,Shares of JSW Steel in Metals sector fall amid currency fluctuations.,JSW Steel in the Metals sector has seen a fall of -1.97% due to currency fluctuations. Market sentiment is Negative with Optimism prevailing.,Metals,Negative,Optimism,-1.97,66.63
2024-10-12,Earnings beat lifts Cipla and Pharma sector.,Cipla in the Pharma sector has seen a fall of -0.44% due to currency fluctuations. Market sentiment is Neutral with Optimism prevailing.,Pharma,Neutral,Optimism,-0.44,60.87
2024-10-20,"Bosch eyes expansion, Automobile stocks rise.",Bosch in the Automobile sector has seen a rise of 0.15% due to technology adoption. Market sentiment is Neutral with Fear prevailing.,Automobile,Neutral,Fear,0.15,131.05
2024-11-06,"Mahindra plans merger, causing Automobile rally.",Mahindra in the Automobile sector has seen a rise of 6.3% due to currency depreciation. Market sentiment is Positive with Caution prevailing.,Automobile,Positive,Caution,6.3,348.42
2025-07-15,Weakness in Pharma drags market down amid inflation concerns.,Dr. Reddy's in the Pharma sector has seen a fall of -4.39% due to inflation concerns. Market sentiment is Negative with Optimism prevailing.,Pharma,Negative,Optimism,-4.39,217.77
2025-01-04,"Global trends influence Real Estate sector, stocks fall.",Prestige Estates in the Real Estate sector has seen a fall of -0.26% due to consumer demand recovery. Market sentiment is Neutral with Optimism prevailing.,Real Estate,Neutral,Optimism,-0.26,233.61
2025-06-27,Strong Technology earnings drive market rise.,Wipro in the Technology sector has seen a rise of 0.79% due to currency depreciation. Market sentiment is Neutral with Uncertainty prevailing.,Technology,Neutral,Uncertainty,0.79,799.4
2025-06-16,Automobile outlook positive on monsoon impact on agriculture.,Tata Motors in the Automobile sector has seen a rise of 2.34% due to monsoon impact on agriculture. Market sentiment is Positive with Caution prevailing.,Automobile,Positive,Caution,2.34,21.96
2025-04-18,Investors optimistic as Infrastructure sector fall on monsoon impact on agriculture.,NCC in the Infrastructure sector has seen a fall of -0.47% due to monsoon impact on agriculture. Market sentiment is Neutral with Optimism prevailing.,Infrastructure,Neutral,Optimism,-0.47,46.24
2024-10-09,"Axis Bank reports strong quarterly earnings, boosting Banking sector.",Axis Bank in the Banking sector has seen a fall of -2.76% due to interest rate hike. Market sentiment is Negative with Fear prevailing.,Banking,Negative,Fear,-2.76,271.53
2025-02-27,Market correction hits Real Estate stocks after new product launches.,DLF in the Real Estate sector has seen a fall of -6.99% due to new product launches. Market sentiment is Negative with Confidence prevailing.,Real Estate,Negative,Confidence,-6.99,225.95
2025-04-18,Mixed results from Banking sector after new product launches.,SBI in the Banking sector has seen a rise of 2.5% due to rising crude oil prices. Market sentiment is Positive with Caution prevailing.,Banking,Positive,Caution,2.5,92.65
2024-04-04,Weakness in Energy drags market down amid rising crude oil prices.,Tata Power in the Energy sector has seen a rise of 1.53% due to rising crude oil prices. Market sentiment is Positive with Fear prevailing.,Energy,Positive,Fear,1.53,14.4
2024-08-11,"Kolte Patil eyes expansion, Real Estate stocks fall.",Kolte Patil in the Real Estate sector has seen a fall of -0.51% due to infrastructure spending boost. Market sentiment is Neutral with Confidence prevailing.,Real Estate,Neutral,Confidence,-0.51,887.42
2024-10-17,"Coforge plans merger, causing Technology rally.",Coforge in the Technology sector has seen a fall of -4.27% due to monsoon impact on agriculture. Market sentiment is Negative with Optimism prevailing.,Technology,Negative,Optimism,-4.27,215.26
2024-11-08,"Godrej Properties eyes expansion, Real Estate stocks rise.",Godrej Properties in the Real Estate sector has seen a rise of 4.27% due to currency depreciation. Market sentiment is Positive with Fear prevailing.,Real Estate,Positive,Fear,4.27,42.99
2024-05-23,"Regulatory changes impact Real Estate sector, stocks fall.",Prestige Estates in the Real Estate sector has seen a fall of -5.57% due to geopolitical tensions. Market sentiment is Negative with Uncertainty prevailing.,Real Estate,Negative,Uncertainty,-5.57,997.46
2024-08-08,Energy companies see rise after currency depreciation.,GAIL in the Energy sector has seen a rise of 2.74% due to currency fluctuations. Market sentiment is Positive with Optimism prevailing.,Energy,Positive,Optimism,2.74,943.12
2025-02-01,"Power Grid announces share buyback plan, impacting Energy stocks.",Power Grid in the Energy sector has seen a rise of 2.31% due to supply chain disruptions. Market sentiment is Positive with Confidence prevailing.,Energy,Positive,Confidence,2.31,925.49
2025-06-24,Earnings beat lifts Torrent Pharma and Pharma sector.,Torrent Pharma in the Pharma sector has seen a rise of 3.53% due to monsoon impact on agriculture. Market sentiment is Positive with Uncertainty prevailing.,Pharma,Positive,Uncertainty,3.53,808.54
2024-04-17,Metals companies see rise after government policy reforms.,Jindal Steel in the Metals sector has seen a rise of 6.99% due to rising crude oil prices. Market sentiment is Positive with Fear prevailing.,Metals,Positive,Fear,6.99,301.56
2025-06-06,Pharma stocks face pressure due to global market trends.,Glenmark in the Pharma sector has seen a fall of -3.66% due to global market trends. Market sentiment is Negative with Uncertainty prevailing.,Pharma,Negative,Uncertainty,-3.66,595.65
2025-05-20,"DLF plans merger, causing Real Estate rally.",DLF in the Real Estate sector has seen a rise of 4.67% due to inflation concerns. Market sentiment is Positive with Fear prevailing.,Real Estate,Positive,Fear,4.67,943.07
2024-11-19,"Tata Motors faces challenges amid new product launches, shares fall.",Tata Motors in the Automobile sector has seen a fall of -5.96% due to new product launches. Market sentiment is Negative with Confidence prevailing.,Automobile,Negative,Confidence,-5.96,175.57
2025-07-27,"Global trends influence Real Estate sector, stocks fall.",Oberoi Realty in the Real Estate sector has seen a fall of -6.97% due to inflation concerns. Market sentiment is Negative with Optimism prevailing.,Real Estate,Negative,Optimism,-6.97,829.06
2024-12-30,"Power Grid faces challenges amid tax reforms, shares rise.",Power Grid in the Energy sector has seen a rise of 6.35% due to tax reforms. Market sentiment is Positive with Optimism prevailing.,Energy,Positive,Optimism,6.35,930.63
2024-06-11,Mixed results from Automobile sector after government policy reforms.,Hero MotoCorp in the Automobile sector has seen a rise of 0.18% due to rising raw material costs. Market sentiment is Neutral with Fear prevailing.,Automobile,Neutral,Fear,0.18,145.04
2025-03-28,Infrastructure sector rallies on consumer demand recovery.,GMR Infrastructure in the Infrastructure sector has seen a fall of -1.31% due to regulatory changes. Market sentiment is Negative with Caution prevailing.,Infrastructure,Negative,Caution,-1.31,396.67
2025-05-19,Market reacts to rising crude oil prices in Automobile sector.,Bajaj Auto in the Automobile sector has seen a fall of -0.09% due to geopolitical tensions. Market sentiment is Neutral with Confidence prevailing.,Automobile,Neutral,Confidence,-0.09,634.62
2024-04-17,Surge in Automobile stocks led by Ashok Leyland amid sector-specific regulations.,Ashok Leyland in the Automobile sector has seen a fall of -2.04% due to sector-specific regulations. Market sentiment is Negative with Uncertainty prevailing.,Automobile,Negative,Uncertainty,-2.04,155.15
2024-06-10,"Bank of Baroda announces expansion into new markets, impacting Banking stocks.",Bank of Baroda in the Banking sector has seen a rise of 2.8% due to global market trends. Market sentiment is Positive with Caution prevailing.,Banking,Positive,Caution,2.8,412.64
2025-06-10,Strong demand boosts Technology sector and Mphasis shares.,Mphasis in the Technology sector has seen a rise of 2.71% due to technology adoption. Market sentiment is Positive with Fear prevailing.,Technology,Positive,Fear,2.71,844.2
2025-07-22,"DLF plans merger, causing Real Estate rally.",DLF in the Real Estate sector has seen a fall of -0.43% due to global market trends. Market sentiment is Neutral with Confidence prevailing.,Real Estate,Neutral,Confidence,-0.43,162.06
